VIN,Activity Group Id,Date,Ops Time,Company,Product Category,Product,Sensor Category,Parameter,Description,Value,State,Purchase Type,Age,Latitude,Longitude
0,0,2020-01-27,0,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,60,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,5,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,60.4499538379507,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,10,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,60.122777359328815,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,15,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,60.65899228789982,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,20,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,60.729397105292264,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,25,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,60.492260524256075,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,30,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,60.51996847001094,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,35,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,60.59276169400618,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,40,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,60.60303490373,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,45,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,60.09336756173746,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,50,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,59.49262274922724,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,55,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,59.65651843345609,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,60,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,60.23508738826423,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,65,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,59.704520947017535,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,70,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,60.26277157085833,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,75,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,60.7932892376476,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,80,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,61.136682086596586,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,85,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,61.64972374074882,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,90,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,61.52301703985931,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,95,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,60.93808340799758,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,100,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,61.447659351116755,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,105,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,61.60881981769371,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,110,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,61.819183530154575,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,115,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,61.694158688122364,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,120,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,62.195126113308206,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,125,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,62.15602112919938,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,130,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,62.0756802678103,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,135,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,62.69606852887578,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,140,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,62.90868919168631,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,145,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,62.43558904826715,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,150,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,62.56759070425606,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,155,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,61.96759674865761,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,160,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,61.48850500190352,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,165,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,61.211843665817625,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,170,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,61.08144258737756,normal_ops,New,6,35.3191,-89.1337
0,0,2020-01-27,175,"Standard Construction Company (Whiteville, TN)",Asphalt Paver,SP-100e,Engine,Fuel Usage,gph,61.385273420157276,normal_ops,New,6,35.3191,-89.1337
